bn_word,en_word,normalised_bn,pos,ipa_pron,roman_pron,bn_definition,bn_synonyms,en_synonyms,bn_antonyms,usage_sentences
অভাগা,forlorn,অভাগা,,"fôr-,fərˈlôrn",Abhāgā,,আশাহীন|নিরাশ|হতাশ্বাস|জনহীন|শূন্য|ফেলে-যাওয়া|কৃপণ|পরিত্যক্ত|অভাগা|অবহেলিত|কৃপণবত,unhappy|sad|miserable|sorrowful|dejected|despondent|disconsolate|wretched|abject|down|downcast|dispirited|downhearted|crestfallen|depressed|melancholy|gloomy|glum|mournful|despairing|doleful|woebegone|blue|down in/at the mouth|down in the dumps|lachrymose,,"When I called, the tiny <b>forlorn</b> figure sat up and reached out towards us.|There the Empress stands today, a somewhat <b>forlorn</b> figure."
ফর্ক লিফট,forklift,ফর্ক লিফট,,ˈfôrkˌlift,Pharka liphaṭa,,,,,"He was told that workmen had been trying to move the tank using a <b>forklift truck</b> when it had fallen and split, spilling diesel.|Before entering, ensure that the <b>forklift</b> plus load weight does not the exceed the elevator capacity."
কাঁটাত্তয়ালা,forked,কাঁটাত্তয়ালা,,fôrkt,Kām̐ṭāttaẏālā,,বিভাজিত|বিভক্ত|চেড়া|কাঁটাত্তয়ালা|কাঁটার আকারে গঠিত|শাখাবিভক্ত|দ্বিশৃঙ্গ,split|branching|branched|bifurcate(d)|Y-shaped|V-shaped|pronged|divided|divaricate,,"Long wings, <b>forked</b> tails and swooping graceful flight usually identify swallows.|With a wing span of up to 5ft and a distinctive long, <b>forked</b> tail, the red kite is a scavenger by nature and akin to a vulture."
বিস্মৃত,forgotten,বিস্মৃত,,,Bismr̥ta,,বিস্মৃত|স্মরণাতীত,fail to remember|fail to recall|fail to think of|disremember|unremembered|out of mind|past recollection|beyond/past recall|consigned to oblivion|left behind|neglected|overlooked|ignored|disregarded|unrecognized,,
কাঁটাচামচ,fork,কাঁটাচামচ,,fôrk,Kām̐ṭācāmaca,,শাখাবিভক্ত হত্তয়া|শাখাপথ ধরা|শাখাপথ ধরিয়া যাত্তয়া|কাঁটা দিয়া নাড়ান|কাঁটা দিয়া আঘাত করা|কাঁটা-বেলচা|কাঁটাচামচ|শাখাপথ|কাঁটা|শাখা|কাঁটাত্তয়ালা কুড়ুল|কাঁটাত্তয়ালা আঙ্কশি|দ্বিধাবিভাজন|দ্বিধাবিভাজনের স্থান|দ্বিধাবিভাজনের সন্ধিস্থল|বিদ্যুতের ঝিলিক|শাখা-পথ,split|branch (off)|divide|subdivide|separate|part|diverge|go in different directions|bifurcate|divaricate|ramify|ramification|branching|forking,,"I was sitting on an end, half consumed by darkness, which made it difficult to see what was travelling on my <b>fork</b> into my mouth.|Big knobby tires, suspension <b>fork</b> and disc brakes make this one mean extreme machine, or at least one that looks the part."
ভুলে গেছি,forgot,ভুলে গেছি,,,Bhulē gēchi,,বিস্মৃত হত্তয়া|ভুলিয়া যাত্তয়া,fail to remember|fail to recall|fail to think of|disremember,,
forgone,forgone,forgone,,,Forgone,,ত্যাগ করা|যাইতে দেত্তয়া|পরিহার করিয়া চলা|ভোগ ত্যাগ করা,do without|go without|give up|waive|renounce|surrender|relinquish|part with|drop|sacrifice|abstain from|refrain from|eschew|cut out|swear off|forswear|abjure,,
ত্যাগ করা,forgo,ত্যাগ করা,,fôrˈgō,Tyāga karā,,বিরত থাকা|পরিহার করা|ছেড়ে দেওয়া|ত্যাগ করা|যাইতে দেত্তয়া|পরিহার করিয়া চলা|ভোগ ত্যাগ করা,do without|go without|give up|waive|renounce|surrender|relinquish|part with|drop|sacrifice|abstain from|refrain from|eschew|cut out|swear off|forswear|abjure,,"My partner, Jack, stayed home, <b>forgoing</b> the 18-mile drive to work over snow-covered roads.|And if a sponsor refuses to sign, it may have to <b>forgo</b> participation in the study."
মার্জনা,forgiving,মার্জনা,,fərˈgiviNG,Mārjanā,,ক্ষমশীল|মার্জনা|ক্ষমাশীল|ক্ষমী|দয়ালু,pardon|excuse|exonerate|absolve|make allowances for|feel no resentment toward|feel no malice toward|harbor no grudge against|bury the hatchet with|let bygones be bygones|let off (the hook)|exculpate|merciful|lenient|compassionate|magnanimous|humane|softhearted|forbearing|tolerant|indulgent|understanding,,"Podocarpus macrophyllus, a relative of the yew, is also very <b>forgiving</b> , growing to only 15 ft, hardy and good in shade.|She was usually such an easy-going and <b>forgiving</b> kid; it just wasn't like her to be so stubborn."
ক্ষমা,forgiveness,ক্ষমা,,fərˈgivnəs,Kṣamā,,মার্জনা|ক্ষমাপ্রাপ্তি|মাপ||ক্ষমা|ক্ষমাশীলতা|ক্ষমাপত্র,pardon|absolution|exoneration|remission|dispensation|indulgence|clemency|mercy|reprieve|amnesty|shrift,,"When we sin we are to confess that sin, obtaining both <b>forgiveness</b> and cleansing.|Yet the atoning death of Jesus is the only basis on which man can claim <b>forgiveness</b> of sins."
ক্ষমা,forgiven,ক্ষমা,,,Kṣamā,,ক্ষমা করা|মার্জনা করা|উপেক্ষা করা|মার্জিত করা,pardon|excuse|exonerate|absolve|make allowances for|feel no resentment toward|feel no malice toward|harbor no grudge against|bury the hatchet with|let bygones be bygones|let off (the hook)|exculpate,,
ক্ষমা করা,forgive,ক্ষমা করা,,fərˈgiv,Kṣamā karā,,রেহাই দেওয়া|মাপ করা|ছেড়ে দেওয়া|ক্ষমা করা|মার্জনা করা|উপেক্ষা করা|মার্জিত করা,pardon|excuse|exonerate|absolve|make allowances for|feel no resentment toward|feel no malice toward|harbor no grudge against|bury the hatchet with|let bygones be bygones|let off (the hook)|exculpate,,God <b>forgive</b> me!|Arlene always said I could <b>forgive</b> anyone for anything if they intrigued me enough.
মার্জনীয়,forgivable,মার্জনীয়,,,Mārjanīẏa,,ক্ষমার্হ|মার্জনাযোগ্য|মার্জনীয়|ক্ষন্তব্য|ক্ষমার্থ,pardonable|excusable|condonable|understandable|tolerable|permissible|allowable|justifiable,,
ফরগের্টমিনট,forget-me-not,ফরগের্টমিনট,,,Pharagērṭaminaṭa,,ফরগের্টমিনট|একরকম ছোট্ট নীল ফুল,mouse ear,,"There were flowers she recognized, like daisies, dandelions and <b>forget-me-nots</b> .|In between the ferns we have planted snowdrops and Omphalodes cappadocica, a relative of the <b>forget-me-not</b> which produces azure blue flowers in early spring each year."
বিস্মৃতি,forgetfulness,বিস্মৃতি,,fərˈgetfəlnəs,Bismr̥ti,,বিস্মৃতি|ভুলে যাওয়ার অভ্যাস,absentmindedness|amnesia|poor memory|a lapse of memory|vagueness|abstraction|scattiness,,she teased him for his <b>forgetfulness</b>|she teased him for his <b>forgetfulness</b>
ভুলো,forgetful,ভুলো,,fərˈgetfəl,Bhulō,,ভুলো|বিস্মরণপ্রবণ|বিস্মরণশীল|অমনোযোগী,absentminded|amnesic|amnesiac|vague|disorganized|dreamy|abstracted|scatterbrained|having a mind/memory like a sieve,,"Sometimes, too, she is <b>forgetful</b> of the fact that, for her, it is a necessity.|I guarantee you, I will recall this one when I am very old and very gray and perhaps even a bit <b>forgetful</b> ."
ভুলে,forget,ভুলে,,fərˈget,Bhulē,,বিস্মৃত হত্তয়া|ভুলিয়া যাত্তয়া|ভুলে যাওয়া|বিস্মৃত হওয়া|মনে না পড়া,fail to remember|fail to recall|fail to think of|disremember,,"how soon they <b>forget</b>!|When push comes to shove, you just <b>forget</b> about it - it's just not worth the heartache."
জালিয়াতি,forgery,জালিয়াতি,,ˈfôrjərē,Jāliẏāti,,জালিয়াতি|কূটকর্ম|জাল দ্রব্য|জালবাজি,counterfeiting|falsification|faking|copying|pirating,,"He was, however, sentenced to 18 months in prison for immigration offenses and document <b>forgery</b> .|So the basis for calling the memos <b>forgeries</b> seems to rest on points that don't add up."
কামার,forger,কামার,,fôrjər,Kāmāra,,কামার|নির্মাতা|জালিয়াৎ,counterfeiter,,
কামারশালা,forge,কামারশালা,,fôrj,Kāmāraśālā,,দৃঢ় পায়ে অগ্রসর হওয়া|ধাপ্পা দেওয়া|বন্ধুত্ব গড়ে তোলা|নকল করা|জাল করা|গঠন করা|নির্মাণ করা|মিথ্যা রচনা করা|বানাইয়া বলা|মুদ্রা জাল করা|কামারশালা|কামারের হাপর|কারখানা|কামারগিরি,hammer out|beat into shape|fashion|smithy,,Is it actually possible to <b>forge</b> corporate documents simply by cutting and pasting them on a computer?|Joe Dunne's dad had a <b>forge</b> there at Pat Miller's yard.
forgave,forgave,forgave,,,Forgave,,ক্ষমা করা|মার্জনা করা|উপেক্ষা করা|মার্জিত করা,pardon|excuse|exonerate|absolve|make allowances for|feel no resentment toward|feel no malice toward|harbor no grudge against|bury the hatchet with|let bygones be bygones|let off (the hook)|exculpate,,
বাজেয়াপ্ত,forfeit,বাজেয়াপ্ত,,ˈfôrfit,Bājēẏāpta,,অধিকার হারানো|খোয়ানো|খেসারত দেওয়া|বাজেয়াপ্ত বস্তু|খেসারৎ|জরিমানা|বাজেয়াপ্ত করা|স্বেচ্ছায় ত্যাগ করা|জব্দ করা|অধিকার খোয়ান|বাজেয়াপ্ত,penalty|sanction|punishment|penance|fine|confiscation|loss|relinquishment|forfeiture|surrender|sequestration|lose|be deprived of|relinquish|sacrifice|give up|yield|renounce|forgo|pass up|lose out on|confiscate|forfeited,,"In an age where trust and faith in God and governments are <b>forfeit</b> , humanity, expressed through fear, is the last bond of the race.|Yeah, he has a lot of ideas, but without being supported by the Americans, his life would be <b>forfeit</b> ."
ভূমিকা,foreword,ভূমিকা,,ˈfôrˌwərd,Bhūmikā,,অবতরণিকা|গৌরচন্দ্রিকা|মুখবন্ধ|কথামুখ|ভূমিকা|অনুক্রমণী,preface|introduction|prologue|preamble|intro|lead-in|exordium|prolegomenon|proem,,"Again and again writers have explained themselves in a variety of ways: <b>forewords</b> , afterwords, essays, interviews, journal entries, not to mention stories or poems that rework old themes.|The book's 246 pages are divided into two <b>forewords</b> , a preface, eight chapters, and seven appendixes."
পূর্বেই সতর্ক করা,forewarn,পূর্বেই সতর্ক করা,,fôrˈwôrn,Pūrbē'i satarka karā,,আগে থেকে সাবধান|সতর্ক করে দেওয়া|পূর্বেই সতর্ক করা,warn|warn in advance|give advance warning|give fair warning|give notice|apprise|inform|alert|caution|put someone on their guard|tip off,,"In an earlier time when I was involved full time in radical politics, I always had cause to <b>forewarn</b> colleagues that having the correct line did not guarantee anyone victory or success in any way.|The UN failed to respond to impending massacres despite <b>forewarnings</b> in all three cases."
চিরতরে,forever,চিরতরে,,"fô-,fəˈrevər",Ciratarē,,চিরকাল|চিরদিন|বরাবর|চিরতরে,for always|evermore|for ever and ever|for good|for all time|until the end of time|until hell freezes over|eternally|forevermore|perpetually|in perpetuity|until the cows come home|until kingdom come|for aye,,"It took <b>forever</b> for her to realize I had moved on and I considered her a thing of the past.|Realising what it meant, he turned his ship round and disappeared <b>forever</b> ."
ভবিষ্যদ্বাণী করেছিলেন,foretold,ভবিষ্যদ্বাণী করেছিলেন,,,Bhabiṣyadbāṇī karēchilēna,,গনা|পূর্বেই বলা|ভবিষ্যদ্বাণী করা|ভাগ্য গণনা করা|পূর্বেই অনুমান করা|খড়ি পাতা|ভবিষ্যদ্বাণী বলা|বিপদের লক্ষণ দেখান,predict|forecast|prophesy|prognosticate|foresee|anticipate|envisage|envision|see,,
দূরদর্শিতা,forethought,দূরদর্শিতা,,ˈfôrˌTHôt,Dūradarśitā,,দূরদর্শিতা|পূর্বানুমান|ভবিষ্যয়ের ভাবনা|ভবিষ্যত্চিন্তা|পূর্বেই চিন্তন,anticipation|planning|forward planning|provision|precaution|prudence|care|caution|foresight|farsightedness|vision,,"I mean, it is really quite extraordinary that he has eluded capture, and it suggests careful <b>forethought</b> on his part.|I have seen too many such ambitious projects founder for lack of money, time and commitment, and others which, completed, have fallen flat on the grounds of shoddy design and lack of <b>forethought</b> ."
গনা,foretell,গনা,,fôrˈtel,Ganā,,গনা|পূর্বেই বলা|ভবিষ্যদ্বাণী করা|ভাগ্য গণনা করা|পূর্বেই অনুমান করা|খড়ি পাতা|ভবিষ্যদ্বাণী বলা|বিপদের লক্ষণ দেখান,predict|forecast|prophesy|prognosticate|foresee|anticipate|envisage|envision|see,,"In the Greek theatre Chorus speaks for the citizens, comments on events and <b>foretells</b> the future.|If people could decipher the signs that <b>foretold</b> events, the events would be predictable and humans could act wisely."
পূর্বাস্বাদন,foretaste,পূর্বাস্বাদন,,ˈfôrˌtāst,Pūrbāsbādana,,পূর্বাভাস|পূর্বলক্ষণ|পূর্বাস্বাদন করা|পূর্বাস্বাদন|পূর্বানুমান|পূর্বস্বাদ,sample|taster|taste|preview|specimen|example|teaser|indication|suggestion|hint|whiff|warning|forewarning|omen,,"For most other Christians, instrumental and vocal music embody praise of the divine, and at best may suggest a <b>foretaste</b> of paradise.|the freezing rain was a <b>foretaste</b> of winter"
বনপালনবিদ্যা,forestry,বনপালনবিদ্যা,,"ˈfär-,ˈfôrəstrē",Banapālanabidyā,,বনপালনবিদ্যা|বনাঁচল,forest management|tree growing|agroforestry|arboriculture|silviculture|dendrology,,"Irrigation, the norm in the production of most crops, is never used in <b>forestry</b> .|It almost requires a background in botany, <b>forestry</b> , or ecology to follow some of the passages."
কিছু আগে করা,forestall,কিছু আগে করা,,fôrˈstôl,Kichu āgē karā,,কিছু আগে করা,preempt|get in before|anticipate|second-guess|nip in the bud|thwart|frustrate|foil|stave off|ward off|fend off|avert|preclude|obviate|prevent|beat someone to it,,"Why, I even remember back to the end of 2001, when the general mood seemed to favor bold action to <b>forestall</b> future catastrophe.|Republican efforts to repeal estate taxes and lower income taxes - predominantly of benefit to the wealthy - is now being marketed to the public as a way to stimulate the economy and to <b>forestall</b> an economic downturn."
বন,forest,বন,,"ˈfär-,ˈfôrəst",Bana,,বনে পরিণত করা|বন|অরণ্য|বড় বন|বনানী|মৃগয়া-ভূমি|অটবি|অটবী,afforest|wood(s)|woodland|timberland|trees|bush|plantation|jungle|rain forest|pinewood|greenwood|taiga|boreal forest|Carolinian forest|Acadian forest,,"There, he enters the <b>forest</b> of his mind, delighting in the escape from everyday restrictions.|Ahead we encountered a dense <b>forest</b> of steel beams half a metre wide and just over a metre apart."
লিঙ্গত্বক্,foreskin,লিঙ্গত্বক্,,ˈfôrˌskin,Liṅgatbak,,লিঙ্গত্বক্|লিঙ্গাগ্রচর্ম,prepuce,,
দূরদর্শিতা,foresight,দূরদর্শিতা,,ˈfôrˌsīt,Dūradarśitā,,দূরদর্শিতা|দূরদর্শন|পূর্বদৃষ্টি|পরিণামদর্শিতা|পারদর্শিতা,forethought|planning|farsightedness|vision|anticipation|prudence|care|caution|precaution|readiness|preparedness,,"They really should tell people to use a bit of <b>foresight</b> about their future careers when they are in like, year eight.|Since we lack prophetic <b>foresight</b> , we cannot predict the outcomes of our decisions."
পূর্বাভাস দেত্তয়া,foreshadow,পূর্বাভাস দেত্তয়া,,fôrˈSHadō,Pūrbābhāsa dēttaẏā,,পূর্বাভাস দেত্তয়া,signal|indicate|signify|mean|be a sign of|suggest|herald|be a harbinger of|warn of|portend|prefigure|presage|promise|point to|anticipate|spell|forebode|foretoken|betoken|adumbrate|foreshow,,Their debates over conservatism <b>foreshadowed</b> our debates today over liberalism.|This evening's episode <b>foreshadows</b> the finale.
foreseen,foreseen,foreseen,,,Foreseen,,আগেই জানা|দূরদর্শন করা|আগে হইতে দেখা|আগে হইতে জানা|পরিণামদর্শী হত্তয়া,anticipate|predict|forecast|expect|envisage|envision|see|foretell|prophesy|prognosticate|foreknow,,
সুদুর,foreseeable,সুদুর,,fôrˈsēəbəl,Sudura,,,,,"If this form continues, and why shouldn't it, then the England shirt is his for the <b>foreseeable</b> future.|I expected to see some of the latter attained in the <b>foreseeable</b> future."
আগেই জানা,foresee,আগেই জানা,,fôrˈsē,Āgē'i jānā,,আগেই জানা|দূরদর্শন করা|আগে হইতে দেখা|আগে হইতে জানা|পরিণামদর্শী হত্তয়া,anticipate|predict|forecast|expect|envisage|envision|see|foretell|prophesy|prognosticate|foreknow,,"Of course, by the early 1990s, you didn't need to be a prophet to <b>foresee</b> the fate of the Left.|‘Take me to this magical <b>foreseer</b> you speak of,’ Goldwing ordered."
ভাবিষ্যদ্বাণী,foresaw,ভাবিষ্যদ্বাণী,,,Bhābiṣyadbāṇī,,আগেই জানা|দূরদর্শন করা|আগে হইতে দেখা|আগে হইতে জানা|পরিণামদর্শী হত্তয়া,anticipate|predict|forecast|expect|envisage|envision|see|foretell|prophesy|prognosticate|foreknow,,
অগ্রদূত,forerunner,অগ্রদূত,,ˈfôrˌrənər,Agradūta,,অগ্রদূত,predecessor|precursor|antecedent|ancestor|forebear|prototype,,"This was an early <b>forerunner</b> of the programmes developed some twenty years later for mainstreaming disabled children.|The Buddha said, ‘Just as the dawn is the forerunner and the first indication of the rising sun, so is right view the <b>forerunner</b> and the first indication of wholesome states.’"
foreplay,foreplay,foreplay,,ˈfôrˌplā,Foreplay,,,arousal|stimulation,,"It sounds like you just need to get more creative in your sex life with <b>foreplay</b> , new techniques, or even sex toys.|For some women, longer <b>foreplay</b> and shorter intercourse may feel less like a disappointment than a bonanza."
আদালতসম্বন্ধীয়,forensic,আদালতসম্বন্ধীয়,,"-sik,fəˈrenzik",Ādālatasambandhīẏa,,আদালতসম্বন্ধীয়,,,"Underground specialists helped the <b>forensic</b> teams in their investigation.|Next week is Science Week, and we poke our legal noses into some <b>forensic</b> evidence."
প্রধানতম,foremost,প্রধানতম,,ˈfôrˌmōst,Pradhānatama,,অগ্রে|আগে|সম্মুখভাবে|সম্মুখে|অগ্রাভিমুখে|সামনের দিকে|প্রধানতম|অগ্র|সর্বপ্রথম|শীর্ষস্থানীয়|সর্বাগ্রবর্তী|সর্বোত্তম|অগ্র্য|সর্বাগ্র|আগ|সর্বাগ্রে স্থিত,first off|first of all|firstly|first|leading|principal|premier|prime|top|top-level|greatest|best|supreme|preeminent|outstanding|most important|most prominent|most influential|most illustrious|most notable|ranking|number-one|star,,"He is the <b>foremost</b> figure in the modern world of traditional Japanese martial arts.|The preacher walked on, pleased to see that the little girl had Jesus <b>foremost</b> in her heart."
মোড়ল,foreman,মোড়ল,,ˈfôrmən,Mōṛala,,প্রথম ব্যক্তি|জমাদার|প্রধান ব্যক্তি|মুখ্যকর্মী|কর্মীসরদার|মোড়ল,supervisor|overseer|superintendent|team leader|foreperson|captain|ramrod|straw boss,,"More often, workers and union committeemen verbally abused or threatened their <b>foremen</b> and supervisors.|She's got a lot of hard workers and a <b>foreman</b> that makes sure things run smoothly for her when she's not there."
বৈদেশিক মুদ্রা,foreign exchange,বৈদেশিক মুদ্রা,,,Baidēśika mudrā,,বৈদেশিক মুদ্রাবিনিময়,,,Initially the area was known for illegal deals in <b>foreign exchange</b> .|Dumping refers to countries selling products at less than the cost of production in order to generate <b>foreign exchange</b> .
বিদেশী,foreigner,বিদেশী,,"ˈfär-,ˈfôrənər",Bidēśī,,বিদেশী|পরদেশী|বিদেশী ব্যক্তি|বিদেশী লোক,alien|nonnative|stranger|outsider|immigrant|landed immigrant|refugee|settler|newcomer,,"An important distinction is that between <b>foreigners</b> passing through and metics settled in the polis.|Like the French crowds of 1792, they turned their wrath against <b>foreigners</b> and foreign words."
বিদেশী,foreign,বিদেশী,,"ˈfär-,ˈfôrən",Bidēśī,,বিদেশী|বৈদেশিক|পরদেশী|পরক|বিলাতী|নিজস্ব নহে এমন|সম্বন্ধহীন|অবাস্তব|অসঙ্গত|পরকীয়|বহিরাগত|অস্থানিক,overseas|exotic|distant|external|alien|nonnative,,"But that has still left many gray areas, especially for <b>foreign</b> investors seeking joint venture partners.|There is a tendency to regard extremism and reaction within a part of the Muslim community in the west as something intrinsically strange or <b>foreign</b> ."
কপাল,forehead,কপাল,,"ˈfôrəd,ˈfôrˌhed",Kapāla,,কপাল|ললাট,brow|temple,,"Cats have scent glands on their <b>foreheads</b> , around their mouths, and near the bases of their tails.|A large gash ran from the corner of his eye and up through his left eyebrow to the middle of his <b>forehead</b> ."
মিতব্যয়ী,forehand,মিতব্যয়ী,,ˈfôrˌhand,Mitabyaẏī,আয় অনুসারে ব্যয় করে এমন। (অলংকাররূপে),মিতব্যয়ী|যথাসময়ে কৃত|পূর্বে কৃত,forehanded,,A slice of fortune and a rasping <b>forehand</b> drive earns the Moroccan three break points.|a good <b>forehand</b> drive
পুরোভূমি,foreground,পুরোভূমি,,ˈfôrˌground,Purōbhūmi,,পুরোভূমি,highlight|spotlight|play up|front|fore,,"The big political question is how far that patriotism comes into the <b>foreground</b> , and in what ways.|the intricate garden depicted in the <b>foreground</b>"
একেবারে পুরোভাগ,forefront,একেবারে পুরোভাগ,,ˈfôrˌfrənt,Ēkēbārē purōbhāga,,একেবারে পুরোভাগ,vanguard|van|spearhead|head|lead|front|fore|front line|cutting edge|avant-garde,,"We weren't in the <b>forefront</b> anymore, but we still had enough breath to talk.|We took the decision to shut the showers because public health is always at the <b>forefront</b> of any decision we make."
তর্জনী,forefinger,তর্জনী,,ˈfôrˌfiNGgər,Tarjanī,,তর্জনী,index|index finger,,"He holds up his hand, the little finger and the <b>forefinger</b> extended.|Disorderly adolescents made coarse gestures with their thumbs and <b>forefingers</b> ."
ফোরক্লোসারের,foreclosure,ফোরক্লোসারের,,fôrˈklōZHər,Phōraklōsārēra,,নিষ্ক্রিয়-সমাপ্তি,,,
নিবারণ করা,foreclose,নিবারণ করা,,fôrˈklōz,Nibāraṇa karā,,সচেতন উদ্দেশ্য|সময়মতো আসল বা সুদ দিতে না-পারায় বন্ধকের শর্ত|নিবারণ করা|বন্ধ করা,prevent|preclude|forbid|forestall,,"Rather, she would be able to pay off the lender if you don't pay, and then she could go after you and <b>foreclose</b> on the house.|Brooksville, Florida proposes to <b>foreclose</b> homes and seize cars over less than $20 in parking tickets."
পূর্বাভাস,forecast,পূর্বাভাস,,ˈfôrˌkast,Pūrbābhāsa,,পূর্বেই হিসাব করা|পূর্বেই অনুমান করা|ভবিষ্যদ্বাণী করা|পূর্বেই বলা|ভবিষ্যদ্বাণী বলা|পূর্বানুমান|ভবিষ্যদ্বাণী|পূর্বাভাস দেওয়া|আন্দাজ করা|পূর্বাভাস|পূর্র্বকল্পনা,predict|prophesy|prognosticate|foretell|foresee|forewarn of|prediction|prophecy|forewarning|prognostication|augury|divination|prognosis,,The panel has been asked to consider the budget and medium-term financial <b>forecast</b> .|Family members also break walnuts open to obtain their health <b>forecasts</b> .
পূর্বলক্ষণ,foreboding,পূর্বলক্ষণ,,fôrˈbōdiNG,Pūrbalakṣaṇa,,পূর্বাভাসমূলক|কুলক্ষণ|অমঙ্গলচিহ্ন|বিপদের পূর্বলক্ষণ|অমঙ্গলের আশংকা|পূর্বাভাস|পূর্বলক্ষণ|পূর্বাভাসদান,presage|augur|portend|herald|warn of|forewarn of|foreshadow|be an omen of|indicate|signify|signal|promise|threaten|spell|denote|betoken|foretoken|fateful|portentous|apprehension|anxiety|trepidation|disquiet|unease|uneasiness|misgiving|suspicion|worry|fear|fearfulness|dread|alarm|the willies|the heebie-jeebies|the jitters|the creeps,,"The Blackcrest Mountains were very tall here, and they stood like <b>foreboding</b> sentinels with their black peaks protruding like worn teeth.|Then she stepped beyond the threshold of the dark and <b>foreboding</b> hole in the mountain, and turned on the lights at each side of her helmet."
হস্ত,forearm,হস্ত,,"fôrˈärm,ˈfôrˌärm",Hasta,,অগ্রবাহু|পুরোবাহু|কনুই থেকে কব্জি অথবা আঙুলের ডগা পর্যন্ত|সংগ্রামার্থ প্রস্তুত করা|হস্ত|হাত|পুরোবান্থ|প্রকোষ্ঠ,,,"Every boating publication should forewarn their readers so that they, too, may be <b>forearmed</b> .|On her left arm was a gold band that went around her wrist and over her <b>forearm</b> ."
সম্মুখ,fore,সম্মুখ,,fôr,Sam'mukha,,অগ্রভাগে|সন্মুখস্থ|সামনে অবস্থিত|অগ্রবর্তী|অগ্র|পূর্ব|সামনে|সম্মুখস্থ|আগালি|সম্মুখে|অগ্রে|সম্মুখ|সম্মুখভাগ,forward|stem|prow|bow,,"The performance is taut, the tension is intense, and the timpani and trombones are given their rightful place in the <b>fore</b> of the score.|The divine light guides him to the fore, even if it is the <b>fore</b> of the sacrificial altar."
হাঁটুজল,ford,হাঁটুজল,,fôrd,Hām̐ṭujala,,নদীর যে অগভীর অংশ ঐরূপে পার হওয়া|হাঁটিয়া পার হত্তয়া|হাঁটুজল,cross|traverse|wade across|walk across|drive across|travel across|make it across|make one's way across|crossing place|crossing|shallow place,,"Be thou as a duck, - religion the stream; fear not the <b>fordless</b> sea's abyss; the duckling swims in the midst of the sea, whence the ignorant boatman turns back.|In this example, passage was used to describe a <b>ford</b> of the Jordan River."
বলপূর্বক,forcibly,বলপূর্বক,,ˈfôrsəblē,Balapūrbaka,,বলপূর্বক|জবরদস্তি|সজোরে,,,"The new conversation must be about how to achieve stability, not how we can <b>forcibly</b> pacify the place.|The ship that was heading for the most logical port of call in Indonesia was <b>forcibly</b> routed to Australia."
জবরদস্ত,forcible,জবরদস্ত,,ˈfôrsəbəl,Jabaradasta,,বলসাধ্য|গায়ের জোরে বা বলপ্রয়োগে কৃত বা সাধিত|প্রবল|জবরদস্ত|সতেজ|ফলপ্রদ|শক্তিমান্|বল দ্বারা কৃত,forced|violent,,"Arguments must therefore be crude, clear and <b>forcible</b> , and appeal to emotions and instincts, not the intellect.|Secondly, there is the fact that some force was used but that force was within the range of force that can be inherent in the case of <b>forcible</b> rape."
সাঁড়াশী,forceps,সাঁড়াশী,,"-ˌseps,ˈfôrsəps",Sām̐ṛāśī,,ফরসেপ|শল্যচিকিত্সায় ব্যবহৃত চিমটে বা সাঁড়াশি-জাতীয় অস্ত্র|সাঁড়াশী|ফর্সেপস্,,,"Research has also shown that women planning to give birth at home were less likely to have a Caesarean, or <b>forceps</b> delivery, even if they had to later transfer to hospital.|The upper epidermal layer from the inner surface of the tissue was excised carefully using a <b>pair of forceps</b> and placed immediately into de-ionized water."
সজোরে,forcefully,সজোরে,,,Sajōrē,,সজোরে|জোরের সঙ্গে|প্রবলভাবে|জবরদস্তি,,,
জবরদস্ত,forceful,জবরদস্ত,,ˈfôrsfəl,Jabaradasta,,শক্তিশালী|জাঁদরেল|তেজী|তেজস্বী|ওজস্বী||জবরদস্ত|সবল|প্রবল|শক্তিমান্|কর্মশক্তিপূর্ণ|শক্তিতাড়িত|বলপ্রয়োগ দ্বারা সাধিত|জোরাল|জোর,dynamic|energetic|assertive|authoritative|vigorous|powerful|strong|pushy|driving|determined|insistent|commanding|dominant|domineering|bossy|in-your-face|go-ahead|feisty,,"While tactics are in dispute, there is broad agreement on the need for a <b>forceful</b> response, and on other key points.|Police say this man was more <b>forceful</b> because he was working alone."
বল প্রতিপালিত,force-fed,বল প্রতিপালিত,,,Bala pratipālita,,জোর করিয়া খাত্তয়ান,,,
জোর করিয়া খাত্তয়ান,force-feed,জোর করিয়া খাত্তয়ান,,,Jōra kariẏā khāttaẏāna,,জোর করিয়া খাত্তয়ান,,,Reports indicate he has been beaten and <b>force-fed</b> in custody.|Independent monitoring groups said he was <b>force-fed</b> unidentified medicines.
বাধ্য,forced,বাধ্য,,fôrst,Bādhya,,কষ্টকৃত|কষ্টকল্পিত|অস্বাভাবিক|কৃত্রিম উপায়ে সৃষ্ট|ধর্ষিত,compel|coerce|make|constrain|oblige|impel|drive|pressurize|pressure|press|push|press-gang|bully|dragoon|bludgeon|put the screws on|lean on|twist someone's arm|violent|forcible,,Myanmar's ruling junta passed a degree in September 1999 declaring <b>forced</b> labor illegal.|The French set up a bureaucracy to administer the colony and collected taxes and requisitioned <b>forced</b> labor.
